datetime,open,high,low,close,volume
2022-02-07 09:45:00,17800,17846,17723,17736,71069
2022-02-07 10:45:00,17737,17776,17718,17721,30131
2022-02-07 11:45:00,17721,17798,17692,17794,21981
2022-02-07 12:45:00,17793,17868,17786,17862,24596
2022-02-07 13:45:00,17862,17899,17858,17898,22303
2022-02-07 16:00:00,17905,17930,17903,17915,5501
2022-02-07 17:00:00,17916,17922,17871,17896,6252
2022-02-07 18:00:00,17896,17903,17863,17878,3900
2022-02-07 19:00:00,17878,17887,17867,17872,2421
2022-02-07 20:00:00,17872,17901,17866,17893,2669
2022-02-07 21:00:00,17895,17912,17893,17907,2702
2022-02-07 22:00:00,17906,17924,17902,17909,2832
2022-02-07 23:00:00,17908,17946,17884,17940,11025
2022-02-08 00:00:00,17940,17950,17920,17941,7252
2022-02-08 01:00:00,17941,17947,17875,17905,7473
2022-02-08 02:00:00,17904,17915,17882,17906,2936
2022-02-08 03:00:00,17906,17945,17901,17943,2426
2022-02-08 04:00:00,17943,17962,17929,17957,2801
2022-02-08 05:00:00,17956,17968,17884,17900,5057
2022-02-08 09:45:00,17962,18045,17938,18027,57891
2022-02-08 10:45:00,18029,18046,17990,18015,30385
2022-02-08 11:45:00,18015,18042,18008,18015,16973
2022-02-08 12:45:00,18015,18031,18000,18019,9272
2022-02-08 13:45:00,18020,18043,17922,17939,28812
2022-02-08 16:00:00,17974,17977,17950,17956,6964
2022-02-08 17:00:00,17956,17973,17947,17967,2899
2022-02-08 18:00:00,17967,17992,17965,17980,3666
2022-02-08 19:00:00,17980,17987,17970,17981,2245
2022-02-08 20:00:00,17982,17983,17963,17973,2300
2022-02-08 21:00:00,17973,17974,17955,17965,2644
2022-02-08 22:00:00,17966,17974,17960,17969,1936
2022-02-08 23:00:00,17969,17991,17963,17977,6240
2022-02-09 00:00:00,17977,18008,17958,18003,8166
2022-02-09 01:00:00,18001,18027,18000,18023,5215
2022-02-09 02:00:00,18023,18036,18011,18024,2567
2022-02-09 03:00:00,18024,18026,18008,18023,1715
2022-02-09 04:00:00,18022,18037,17995,18003,2910
2022-02-09 05:00:00,18003,18050,17990,18050,4264
2022-02-09 09:45:00,18068,18105,18053,18076,43509
2022-02-09 10:45:00,18077,18099,18049,18073,23253
2022-02-09 11:45:00,18073,18113,18070,18106,17815
2022-02-09 12:45:00,18106,18129,18101,18122,11915
2022-02-09 13:45:00,18121,18169,18116,18166,22623
2022-02-09 16:00:00,18171,18177,18156,18169,4907
2022-02-09 17:00:00,18168,18198,18166,18194,5121
2022-02-09 18:00:00,18195,18214,18194,18205,4344
2022-02-09 19:00:00,18205,18219,18200,18213,2120
2022-02-09 20:00:00,18213,18214,18203,18211,1639
2022-02-09 21:00:00,18212,18220,18210,18217,1785
2022-02-09 22:00:00,18217,18231,18215,18219,2988
2022-02-09 23:00:00,18219,18226,18175,18183,10012
2022-02-10 00:00:00,18183,18224,18180,18221,7530
2022-02-10 01:00:00,18226,18236,18193,18200,5459
2022-02-10 02:00:00,18199,18219,18186,18216,3033
2022-02-10 03:00:00,18216,18226,18210,18226,1248
2022-02-10 04:00:00,18226,18244,18226,18240,2146
2022-02-10 05:00:00,18239,18250,18213,18248,3507
2022-02-10 09:45:00,18230,18240,18145,18177,46175
2022-02-10 10:45:00,18177,18190,18133,18183,29616
2022-02-10 11:45:00,18183,18246,18182,18234,26481
2022-02-10 12:45:00,18235,18262,18206,18252,17120
2022-02-10 13:45:00,18251,18338,18244,18335,25544
2022-02-10 16:00:00,18369,18392,18355,18388,8354
2022-02-10 17:00:00,18390,18397,18369,18370,4860
2022-02-10 18:00:00,18371,18381,18363,18372,2759
2022-02-10 19:00:00,18374,18381,18366,18381,1454
2022-02-10 20:00:00,18381,18384,18370,18374,1535
2022-02-10 21:00:00,18373,18386,18372,18381,1636
2022-02-10 22:00:00,18381,18392,18277,18291,17695
2022-02-10 23:00:00,18291,18328,18260,18322,18351
2022-02-11 00:00:00,18322,18385,18318,18347,16638
2022-02-11 01:00:00,18351,18372,18323,18366,9633
2022-02-11 02:00:00,18365,18367,18278,18298,7794
2022-02-11 03:00:00,18298,18318,18231,18272,10782
2022-02-11 04:00:00,18273,18277,18223,18239,6148
2022-02-11 05:00:00,18240,18261,18200,18223,5947
2022-02-11 09:45:00,18211,18255,18182,18246,49091
2022-02-11 10:45:00,18245,18283,18228,18266,27459
2022-02-11 11:45:00,18265,18287,18234,18262,18643
2022-02-11 12:45:00,18262,18287,18245,18247,13353
2022-02-11 13:45:00,18247,18289,18236,18274,21303
2022-02-11 16:00:00,18288,18329,18283,18322,8773
2022-02-11 17:00:00,18321,18351,18316,18328,7286
2022-02-11 18:00:00,18328,18342,18305,18319,4238
2022-02-11 19:00:00,18319,18339,18318,18334,2205
2022-02-11 20:00:00,18335,18338,18326,18330,1754
2022-02-11 21:00:00,18330,18366,18328,18356,5427
2022-02-11 22:00:00,18356,18376,18349,18362,4268
2022-02-11 23:00:00,18363,18380,18330,18339,11195
2022-02-12 00:00:00,18339,18360,18328,18338,9349
2022-02-12 01:00:00,18336,18349,18279,18311,12016
2022-02-12 02:00:00,18312,18323,18272,18285,6167
2022-02-12 03:00:00,18284,18299,18215,18226,9899
2022-02-12 04:00:00,18226,18237,18145,18165,12671
2022-02-12 05:00:00,18164,18212,18082,18114,13550
2022-02-14 09:45:00,18101,18132,17954,17954,82554
2022-02-14 10:45:00,17954,17992,17934,17985,38452
2022-02-14 11:45:00,17985,18004,17956,17978,20229
2022-02-14 12:45:00,17980,18026,17957,17969,18228
2022-02-14 13:45:00,17969,18033,17963,17971,25663
2022-02-14 16:00:00,17959,17996,17929,17982,10680
2022-02-14 17:00:00,17982,17985,17881,17889,14999
2022-02-14 18:00:00,17889,17928,17876,17890,9314
2022-02-14 19:00:00,17893,17932,17865,17917,7276
2022-02-14 20:00:00,17918,17926,17902,17918,3382
2022-02-14 21:00:00,17919,18000,17903,17985,11867
2022-02-14 22:00:00,17985,18014,17971,17979,10771
2022-02-14 23:00:00,17979,18001,17941,17972,13008
2022-02-15 00:00:00,17973,17984,17919,17945,15951
2022-02-15 01:00:00,17945,17982,17933,17947,8569
2022-02-15 02:00:00,17948,17978,17936,17961,3553
2022-02-15 03:00:00,17962,17975,17844,17847,8362
2022-02-15 04:00:00,17847,17931,17829,17909,9589
2022-02-15 05:00:00,17913,17960,17884,17927,6082
2022-02-15 09:45:00,17917,18034,17882,18028,53843
2022-02-15 10:45:00,18028,18093,18021,18072,30974
2022-02-15 11:45:00,18073,18088,18051,18066,12269
2022-02-15 12:45:00,18066,18070,17985,18006,20776
2022-02-15 13:45:00,18005,18014,17913,17953,28330
2022-02-15 16:00:00,17970,18005,17956,17989,7848
2022-02-15 17:00:00,17990,18085,17977,18077,12788
2022-02-15 18:00:00,18077,18104,18071,18091,6039
2022-02-15 19:00:00,18091,18117,18077,18110,4920
2022-02-15 20:00:00,18111,18136,18107,18126,4795
2022-02-15 21:00:00,18126,18138,18116,18128,3267
2022-02-15 22:00:00,18129,18131,18103,18112,4688
2022-02-15 23:00:00,18112,18144,18098,18116,9796
2022-02-16 00:00:00,18118,18150,18105,18145,6448
2022-02-16 01:00:00,18146,18165,18131,18162,4865
2022-02-16 02:00:00,18162,18168,18119,18137,3578
2022-02-16 03:00:00,18137,18165,18132,18162,1664
2022-02-16 04:00:00,18161,18174,18146,18171,1719
2022-02-16 05:00:00,18171,18184,18161,18184,3533
2022-02-16 09:45:00,18175,18215,18156,18158,33060
2022-02-16 10:45:00,18158,18238,18151,18224,25850
2022-02-16 11:45:00,18224,18249,18220,18227,9723
2022-02-16 12:45:00,18226,18232,18140,18149,19414
2022-02-16 13:45:00,18148,18218,18143,18218,17462
2022-02-16 16:00:00,18233,18266,18226,18249,10478
2022-02-16 17:00:00,18249,18286,18230,18275,9488
2022-02-16 18:00:00,18275,18283,18235,18236,6593
2022-02-16 19:00:00,18235,18245,18214,18237,8152
2022-02-16 20:00:00,18237,18243,18223,18237,3230
2022-02-16 21:00:00,18236,18243,18205,18220,5452
2022-02-16 22:00:00,18222,18239,18202,18206,7438
2022-02-16 23:00:00,18207,18216,18167,18178,14854
2022-02-17 00:00:00,18178,18200,18166,18185,8709
2022-02-17 01:00:00,18185,18197,18177,18191,3506
2022-02-17 02:00:00,18190,18198,18153,18177,4717
2022-02-17 03:00:00,18178,18211,18171,18205,3447
2022-02-17 04:00:00,18201,18284,18196,18273,10272
2022-02-17 05:00:00,18274,18302,18263,18265,5873
2022-02-17 09:45:00,18267,18301,18245,18268,48098
2022-02-17 10:45:00,18267,18325,18257,18266,37333
2022-02-17 11:45:00,18265,18330,18262,18322,21980
2022-02-17 12:45:00,18322,18325,18170,18206,58494
2022-02-17 13:45:00,18205,18253,18167,18241,31495
2022-02-17 16:00:00,18255,18260,18232,18254,6356
2022-02-17 17:00:00,18254,18275,18209,18227,11535
2022-02-17 18:00:00,18227,18235,18215,18227,3648
2022-02-17 19:00:00,18227,18257,18225,18249,3766
2022-02-17 20:00:00,18248,18254,18235,18248,2568
2022-02-17 21:00:00,18250,18269,18249,18262,3949
2022-02-17 22:00:00,18263,18272,18218,18224,8216
2022-02-17 23:00:00,18224,18245,18187,18195,12683
2022-02-18 00:00:00,18194,18205,18158,18188,14510
2022-02-18 01:00:00,18189,18217,18182,18196,7269
2022-02-18 02:00:00,18196,18212,18186,18197,3033
2022-02-18 03:00:00,18198,18198,18168,18177,3125
2022-02-18 04:00:00,18176,18178,18120,18124,6603
2022-02-18 05:00:00,18123,18127,18073,18079,9494
2022-02-18 09:45:00,18071,18195,18039,18192,64201
2022-02-18 10:45:00,18192,18210,18166,18190,35610
2022-02-18 11:45:00,18188,18232,18171,18214,21946
2022-02-18 12:45:00,18215,18246,18210,18232,16042
2022-02-18 13:45:00,18233,18254,18215,18230,20505
2022-02-18 16:00:00,18211,18228,18188,18201,9509
2022-02-18 17:00:00,18201,18233,18199,18215,6054
2022-02-18 18:00:00,18216,18222,18196,18216,3666
2022-02-18 19:00:00,18216,18220,18208,18211,1780
2022-02-18 20:00:00,18211,18218,18198,18204,2573
2022-02-18 21:00:00,18204,18224,18203,18219,2329
2022-02-18 22:00:00,18218,18223,18126,18163,20319
2022-02-18 23:00:00,18164,18183,18124,18170,17714
2022-02-19 00:00:00,18170,18182,18134,18141,12979
2022-02-19 01:00:00,18143,18143,18097,18106,15378
2022-02-19 02:00:00,18105,18145,18099,18110,8297
2022-02-19 03:00:00,18110,18148,18102,18140,5545
2022-02-19 04:00:00,18140,18200,18137,18184,10125
2022-02-19 05:00:00,18184,18203,18108,18131,8877
2022-02-21 09:45:00,18006,18192,17968,18182,73480
2022-02-21 10:45:00,18182,18195,18136,18153,28827
2022-02-21 11:45:00,18154,18235,18153,18209,31148
2022-02-21 12:45:00,18210,18224,18184,18218,13891
2022-02-21 13:45:00,18219,18243,18206,18213,18040
2022-02-21 16:00:00,18243,18255,18228,18232,9227
2022-02-21 17:00:00,18232,18236,18162,18188,11511
2022-02-21 18:00:00,18189,18191,18131,18154,12729
2022-02-21 19:00:00,18153,18166,18140,18158,4189
2022-02-21 20:00:00,18159,18162,18115,18135,8359
2022-02-21 21:00:00,18136,18140,18098,18115,8181
2022-02-21 22:00:00,18114,18130,18077,18119,12386
2022-02-21 23:00:00,18119,18150,18110,18124,11419
2022-02-22 00:00:00,18124,18150,18110,18123,7291
2022-02-22 01:00:00,18123,18127,18089,18099,4729
2022-02-22 02:00:00,18100,18106,18070,18075,5859
2022-02-22 03:00:00,18076,18086,18020,18026,6279
2022-02-22 04:00:00,18024,18026,17989,18018,5086
2022-02-22 05:00:00,18019,18036,17998,18019,2817
2022-02-22 09:45:00,17991,18068,17893,17935,94041
2022-02-22 10:45:00,17933,17935,17840,17849,45949
2022-02-22 11:45:00,17849,17856,17773,17833,40930
2022-02-22 12:45:00,17834,17872,17808,17860,20783
2022-02-22 13:45:00,17859,17952,17852,17876,38613
2022-02-22 16:00:00,17869,17895,17831,17854,15399
2022-02-22 17:00:00,17854,17929,17844,17924,13809
2022-02-22 18:00:00,17924,17926,17888,17890,6712
2022-02-22 19:00:00,17890,17989,17887,17970,14355
2022-02-22 20:00:00,17971,17976,17944,17960,7553
2022-02-22 21:00:00,17960,17982,17945,17966,5982
2022-02-22 22:00:00,17966,17969,17925,17950,7844
2022-02-22 23:00:00,17948,17988,17904,17970,17631
2022-02-23 00:00:00,17969,17983,17925,17934,12858
2022-02-23 01:00:00,17926,17943,17886,17912,11982
2022-02-23 02:00:00,17911,17924,17862,17877,6708
2022-02-23 03:00:00,17877,17908,17838,17855,6801
2022-02-23 04:00:00,17853,17959,17806,17933,13584
2022-02-23 05:00:00,17935,17972,17856,17882,7578
2022-02-23 09:45:00,17950,18016,17936,17973,52987
2022-02-23 10:45:00,17974,18012,17941,17990,36287
2022-02-23 11:45:00,17991,17993,17946,17971,20089
2022-02-23 12:45:00,17970,18000,17968,18000,11681
2022-02-23 13:45:00,18000,18060,18000,18043,30546
2022-02-23 16:00:00,18046,18054,18024,18042,7566
2022-02-23 17:00:00,18044,18078,18032,18078,8645
2022-02-23 18:00:00,18077,18093,18072,18075,5544
2022-02-23 19:00:00,18076,18080,18060,18069,4119
2022-02-23 20:00:00,18069,18071,18034,18036,6077
2022-02-23 21:00:00,18037,18072,18032,18063,5864
2022-02-23 22:00:00,18064,18074,18052,18066,3932
2022-02-23 23:00:00,18066,18084,18041,18041,10883
2022-02-24 00:00:00,18041,18041,17980,18004,22526
2022-02-24 01:00:00,17999,18018,17965,18010,12594
2022-02-24 02:00:00,18010,18033,17978,17983,6765
