datetime,minute,maturity_time,op_h,op_l,h,l,power
2023-07-18 21:50:00,5,0,17185,17184,17188,17184,2
2023-07-18 21:55:00,5,23:08,17251,17123,17269,17123,73
2023-07-18 22:00:00,5,22:26,17214,17172,17224,17172,26
2023-07-18 22:05:00,5,22:14,17201,17198,17211,17193,9
2023-07-18 22:10:00,5,22:49,17235,17168,17243,17165,39
2023-07-18 22:15:00,5,22:22,17212,17209,17221,17207,7
2023-07-18 22:20:00,5,23:19,17268,17163,17271,17153,59
2023-07-18 22:25:00,5,22:48,17236,17198,17238,17192,23
2023-07-18 22:30:00,5,23:09,17250,17184,17262,17184,39
2023-07-18 22:35:00,5,23:01,17239,17197,17241,17189,26
2023-07-18 22:40:00,5,23:00,17232,17201,17239,17199,20
2023-07-18 22:45:00,5,23:34,17266,17180,17278,17180,49
2023-07-18 22:50:00,5,23:14,17250,17221,17263,17215,24
2023-07-18 22:55:00,5,00:10,17311,17174,17318,17168,75
2023-07-18 23:00:00,5,23:24,17265,17225,17268,17220,24
2023-07-18 23:05:00,5,23:14,17247,17242,17251,17233,9
2023-07-18 23:10:00,5,23:30,17257,17225,17260,17220,20
2023-07-18 23:15:00,5,23:29,17252,17233,17252,17224,14
2023-07-18 23:20:00,5,23:28,17244,17233,17247,17231,8
2023-07-18 23:25:00,5,23:36,17232,17227,17237,17215,11
2023-07-18 23:30:00,5,00:12,17257,17185,17257,17173,42
2023-07-18 23:35:00,5,00:28,17263,17168,17273,17167,53
2023-07-18 23:40:00,5,00:01,17237,17204,17246,17204,21
2023-07-18 23:45:00,5,00:27,17263,17190,17274,17190,42
2023-07-18 23:50:00,5,00:02,17242,17237,17261,17237,12
2023-07-18 23:55:00,5,00:08,17257,17246,17270,17244,13
2023-07-19 00:00:00,5,00:34,17286,17228,17296,17228,34
2023-07-19 00:05:00,5,01:08,17318,17204,17318,17192,63
2023-07-19 00:10:00,5,00:45,17283,17221,17285,17215,35
2023-07-19 00:15:00,5,00:28,17258,17238,17259,17233,13
2023-07-19 00:20:00,5,00:37,17265,17239,17272,17238,17
2023-07-19 00:25:00,5,01:42,17317,17184,17317,17163,77
2023-07-19 00:30:00,5,00:51,17264,17236,17278,17236,21
2023-07-19 00:35:00,5,00:46,17261,17247,17261,17239,11
2023-07-19 00:40:00,5,00:57,17269,17244,17270,17236,17
2023-07-19 00:45:00,5,00:53,17259,17252,17262,17246,8
2023-07-19 00:50:00,5,01:08,17266,17238,17272,17236,18
2023-07-19 00:55:00,5,01:05,17256,17244,17259,17239,10
2023-07-19 01:00:00,5,01:10,17256,17243,17261,17241,10
